id,timestamp,description,category,amount,type
82,2025-01-29 21:49:24,Petrol Station,Travel,-1225.8,expense
84,2025-01-30 08:25:49,Juice Bar,Food,-78.54,expense
83,2025-01-30 18:38:44,Petrol Station,Travel,-1331.6,expense
85,2025-01-31 11:01:03,ATM Withdrawal,Other,-1127.66,expense
86,2025-01-31 15:12:27,Restaurant Dinner,Food,-187.89,expense
87,2025-02-01 06:19:53,Rent Payment,Rent,-13989.18,expense
90,2025-02-01 15:25:08,Gym Membership,Other,-702.96,expense
88,2025-02-01 19:54:46,Lunch Canteen,Food,-133.4,expense
89,2025-02-01 21:02:47,Zomato Delivery,Food,-176.71,expense
91,2025-02-02 14:38:30,Freelance Payment,Freelance,7204.23,income
92,2025-02-02 18:29:18,Petrol Station,Travel,-1522.49,expense
94,2025-02-03 07:35:27,Auto Rickshaw,Travel,-50.88,expense
96,2025-02-03 15:29:06,Cafe Coffee,Food,-109.21,expense
93,2025-02-03 18:12:21,Spotify Premium,Entertainment,-119,expense
95,2025-02-03 20:37:50,Swiggy Order,Food,-188.23,expense
97,2025-02-03 21:19:12,Cafe Coffee,Food,-109.64,expense
99,2025-02-04 08:25:21,Metro Card Recharge,Travel,-393.71,expense
98,2025-02-04 12:39:07,Uber Ride,Travel,-202.28,expense
100,2025-02-04 22:34:39,Medical Consultation,Other,-680.73,expense
104,2025-02-05 11:33:54,Gym Membership,Other,-991.47,expense
102,2025-02-05 13:02:44,Freelance Payment,Freelance,6036.78,income
105,2025-02-05 16:37:22,Haircut Salon,Other,-279.44,expense
101,2025-02-05 19:13:22,Netflix Subscription,Entertainment,-649,expense
103,2025-02-05 23:30:10,Bakery,Food,-57.68,expense
109,2025-02-06 06:11:40,Metro Card Recharge,Travel,-294.09,expense
108,2025-02-06 12:42:58,Lunch Canteen,Food,-78.23,expense
106,2025-02-06 13:08:27,Electricity Bill,Bills,-1264.28,expense
107,2025-02-06 18:35:21,Haircut Salon,Other,-282.63,expense
110,2025-02-06 23:34:24,Cafe Coffee,Food,-74.39,expense
113,2025-02-07 15:20:37,Lunch Canteen,Food,-61.88,expense
112,2025-02-07 18:04:16,Street Food,Food,-25.82,expense
111,2025-02-07 19:37:41,Amazon Prime,Entertainment,-299,expense
114,2025-02-07 22:26:57,Bakery,Food,-79.54,expense
115,2025-02-08 10:32:34,Amazon Order,Shopping,-774.69,expense
116,2025-02-08 13:26:33,Swiggy Order,Food,-192.95,expense
117,2025-02-09 21:30:41,Sports Event Ticket,Entertainment,-692.63,expense
118,2025-02-09 22:15:49,Restaurant Dinner,Food,-341.94,expense
120,2025-02-10 06:00:53,Auto Rickshaw,Travel,-39.57,expense
119,2025-02-10 12:59:22,Hotel Booking,Travel,-3160.75,expense
121,2025-02-10 15:12:41,Street Food,Food,-37.41,expense
125,2025-02-11 08:03:40,Gym Membership,Other,-1187.5,expense
123,2025-02-11 15:11:56,Restaurant Dinner,Food,-301.07,expense
122,2025-02-11 16:48:29,Internet Bill,Bills,-938.5,expense
124,2025-02-11 22:18:53,Swiggy Order,Food,-96.83,expense
127,2025-02-12 12:50:21,Uber Ride,Travel,-138.18,expense
129,2025-02-12 20:53:05,Juice Bar,Food,-80.23,expense
126,2025-02-12 20:54:23,Cashback Refund,Other,209.57,income
128,2025-02-12 21:42:26,Laundry Service,Other,-110.01,expense
131,2025-02-13 11:16:14,Zomato Delivery,Food,-172.01,expense
132,2025-02-13 13:33:55,Zomato Delivery,Food,-135.85,expense
130,2025-02-13 20:00:35,Juice Bar,Food,-37.31,expense
135,2025-02-14 08:36:09,ATM Withdrawal,Other,-807.18,expense
134,2025-02-14 15:17:47,Grocery Store,Food,-619.0,expense
133,2025-02-14 19:50:10,Auto Rickshaw,Travel,-63.93,expense
136,2025-02-15 15:13:32,Haircut Salon,Other,-196.34,expense
137,2025-02-15 19:49:27,Lunch Canteen,Food,-72.56,expense
138,2025-02-16 13:50:24,Amazon Order,Shopping,-1700.21,expense
139,2025-02-16 15:14:21,Cafe Coffee,Food,-103.95,expense
141,2025-02-17 16:40:27,Grocery Store,Food,-389.84,expense
140,2025-02-17 20:21:32,ATM Withdrawal,Other,-1082.27,expense
142,2025-02-18 15:36:23,Zomato Delivery,Food,-211.8,expense
143,2025-02-18 20:11:29,Swiggy Order,Food,-100.33,expense
144,2025-02-18 23:28:39,Medical Consultation,Other,-480.76,expense
146,2025-02-19 17:46:12,Street Food,Food,-64.31,expense
145,2025-02-19 20:00:24,Petrol Station,Travel,-1587.96,expense
147,2025-02-20 06:08:37,Haircut Salon,Other,-136.03,expense
148,2025-02-20 14:01:22,Street Food,Food,-63.98,expense
149,2025-02-20 17:12:14,Restaurant Dinner,Food,-157.15,expense
150,2025-02-20 23:48:00,Gym Membership,Other,-603.48,expense
152,2025-02-21 10:02:52,Books Purchase,Other,-328.29,expense
151,2025-02-21 18:18:01,Auto Rickshaw,Travel,-67.46,expense
153,2025-02-21 22:49:52,Street Food,Food,-34.07,expense
154,2025-02-22 20:41:31,Shopping Mall,Shopping,-1511.26,expense
155,2025-02-22 21:16:34,Grocery Store,Food,-385.48,expense
157,2025-02-23 14:20:58,Auto Rickshaw,Travel,-66.25,expense
156,2025-02-23 17:11:23,Amazon Order,Shopping,-364.76,expense
159,2025-02-24 11:12:07,ATM Withdrawal,Other,-1420.73,expense
158,2025-02-24 17:05:42,Gym Membership,Other,-703.28,expense
160,2025-02-25 16:16:51,Bakery,Food,-125.43,expense
162,2025-02-25 20:47:50,Metro Card Recharge,Travel,-352.33,expense
161,2025-02-25 21:55:21,Haircut Salon,Other,-258.78,expense
164,2025-02-26 08:41:22,ATM Withdrawal,Other,-1340.54,expense
163,2025-02-26 12:19:22,Grocery Store,Food,-358.67,expense
166,2025-02-27 10:05:51,Juice Bar,Food,-66.26,expense
165,2025-02-27 16:16:15,Freelance Payment,Freelance,10401.65,income
167,2025-02-27 23:43:12,Haircut Salon,Other,-309.53,expense
168,2025-02-28 08:31:24,Salary Deposit,Salary,63838.21,income
170,2025-02-28 09:14:56,Bus Pass,Travel,-64.41,expense
171,2025-02-28 14:29:50,Uber Ride,Travel,-147.03,expense
172,2025-02-28 18:02:12,Street Food,Food,-65.48,expense
169,2025-02-28 23:29:17,Bakery,Food,-111.75,expense
174,2025-03-01 08:11:44,Petrol Station,Travel,-1447.29,expense
173,2025-03-01 09:38:03,Rent Payment,Rent,-10298.07,expense
175,2025-03-02 14:42:52,Freelance Payment,Freelance,4870.78,income
176,2025-03-02 18:39:29,Shopping Mall,Shopping,-2078.91,expense
178,2025-03-03 07:12:08,Restaurant Dinner,Food,-482.99,expense
179,2025-03-03 16:58:54,Zomato Delivery,Food,-210.92,expense
177,2025-03-03 17:17:55,Spotify Premium,Entertainment,-119,expense
180,2025-03-04 14:05:50,Freelance Payment,Freelance,4157.08,income
182,2025-03-04 19:33:28,Gym Membership,Other,-1037.47,expense
181,2025-03-04 23:38:29,Haircut Salon,Other,-345.85,expense
184,2025-03-05 06:55:57,Gym Membership,Other,-679.21,expense
183,2025-03-05 21:50:32,Haircut Salon,Other,-270.82,expense
189,2025-03-06 10:54:29,Books Purchase,Other,-203.37,expense
188,2025-03-06 14:08:09,Street Food,Food,-36.09,expense
185,2025-03-06 17:10:38,Netflix Subscription,Entertainment,-649,expense
186,2025-03-06 17:18:24,Laundry Service,Other,-178.74,expense
187,2025-03-06 21:04:38,Zomato Delivery,Food,-198.81,expense
191,2025-03-07 11:51:30,Juice Bar,Food,-77.79,expense
190,2025-03-07 13:21:23,Electricity Bill,Bills,-663.18,expense
192,2025-03-07 19:29:55,Laundry Service,Other,-228.72,expense
194,2025-03-08 09:48:08,Grocery Store,Food,-257.92,expense
193,2025-03-08 18:13:59,Amazon Prime,Entertainment,-299,expense
195,2025-03-08 21:08:24,Gym Membership,Other,-877.99,expense
196,2025-03-09 10:06:30,Auto Rickshaw,Travel,-77.34,expense
199,2025-03-09 13:22:20,Petrol Station,Travel,-1163.81,expense
197,2025-03-09 19:42:32,Lunch Canteen,Food,-88.49,expense
198,2025-03-09 21:39:05,Sports Event Ticket,Entertainment,-348.43,expense
201,2025-03-10 08:13:24,Laundry Service,Other,-168.89,expense
202,2025-03-10 13:13:37,Petrol Station,Travel,-877.26,expense
200,2025-03-10 18:51:14,Zomato Delivery,Food,-178.42,expense
204,2025-03-11 08:50:31,Restaurant Dinner,Food,-490.86,expense
203,2025-03-11 22:51:06,Gym Membership,Other,-1112.07,expense
207,2025-03-12 09:08:47,Gym Membership,Other,-1004.3,expense
205,2025-03-12 16:59:04,Internet Bill,Bills,-860.91,expense
206,2025-03-12 20:57:37,Haircut Salon,Other,-167.48,expense
210,2025-03-13 16:03:43,Petrol Station,Travel,-1054.21,expense
208,2025-03-13 17:39:32,Auto Rickshaw,Travel,-44.87,expense
209,2025-03-13 23:34:01,Restaurant Dinner,Food,-462.34,expense
212,2025-03-14 07:41:14,Haircut Salon,Other,-200.94,expense
211,2025-03-14 13:04:15,Bus Pass,Travel,-122.41,expense
214,2025-03-14 18:26:35,Laundry Service,Other,-142.36,expense
213,2025-03-14 23:04:37,Metro Card Recharge,Travel,-304.27,expense
216,2025-03-15 15:18:29,Restaurant Dinner,Food,-398.57,expense
215,2025-03-15 18:17:23,Gaming Purchase,Entertainment,-604.52,expense
217,2025-03-16 10:32:02,Concert Tickets,Entertainment,-400.27,expense
219,2025-03-16 15:11:10,Uber Ride,Travel,-155.89,expense
218,2025-03-16 22:32:52,Medical Consultation,Other,-291.73,expense
222,2025-03-17 14:07:30,Swiggy Order,Food,-270.18,expense
221,2025-03-17 17:31:33,Ola Cab,Travel,-273.56,expense
220,2025-03-17 23:37:37,Street Food,Food,-39.78,expense
223,2025-03-18 10:09:25,Gym Membership,Other,-618.16,expense
224,2025-03-18 18:40:09,Bakery,Food,-60.74,expense
225,2025-03-18 22:51:12,Grocery Store,Food,-566.14,expense
226,2025-03-19 11:23:14,ATM Withdrawal,Other,-507.02,expense
227,2025-03-19 17:00:50,Cafe Coffee,Food,-58.31,expense
229,2025-03-20 16:57:09,Cafe Coffee,Food,-84.13,expense
231,2025-03-20 19:09:46,Metro Card Recharge,Travel,-228.07,expense
228,2025-03-20 20:46:57,Cashback Refund,Other,351.13,income
230,2025-03-20 22:25:02,Lunch Canteen,Food,-71.19,expense
233,2025-03-21 13:09:47,Medical Consultation,Other,-655.77,expense
232,2025-03-21 23:06:19,Lunch Canteen,Food,-94.78,expense
236,2025-03-22 15:55:40,Auto Rickshaw,Travel,-48.25,expense
234,2025-03-22 20:04:13,Metro Card Recharge,Travel,-157.12,expense
235,2025-03-22 22:44:11,Gaming Purchase,Entertainment,-283.56,expense
237,2025-03-23 14:32:28,Restaurant Dinner,Food,-522.39,expense
238,2025-03-23 16:40:47,Juice Bar,Food,-44.69,expense
240,2025-03-24 20:16:56,Grocery Store,Food,-575.15,expense
239,2025-03-24 21:00:37,Gym Membership,Other,-997.92,expense
241,2025-03-25 19:36:54,Laundry Service,Other,-241.23,expense
242,2025-03-25 22:11:13,Street Food,Food,-61.83,expense
244,2025-03-26 09:15:47,Auto Rickshaw,Travel,-77.48,expense
243,2025-03-26 22:16:45,Grocery Store,Food,-531.32,expense
245,2025-03-27 08:03:00,Bakery,Food,-54.4,expense
247,2025-03-27 16:45:57,Ola Cab,Travel,-245.37,expense
246,2025-03-27 23:03:58,Cafe Coffee,Food,-104.36,expense
248,2025-03-28 07:22:28,Salary Deposit,Salary,56896.93,income
251,2025-03-28 08:13:37,ATM Withdrawal,Other,-731.69,expense
249,2025-03-28 20:29:49,Ola Cab,Travel,-241.41,expense
250,2025-03-28 23:33:14,Juice Bar,Food,-70.83,expense
253,2025-03-29 08:11:18,Movie Tickets,Entertainment,-437.19,expense
252,2025-03-29 23:18:19,Shopping Mall,Shopping,-493.15,expense
255,2025-03-30 09:06:29,Movie Tickets,Entertainment,-504.7,expense
254,2025-03-30 15:55:53,Bus Pass,Travel,-99.22,expense
257,2025-03-31 10:19:15,Metro Card Recharge,Travel,-277.0,expense
256,2025-03-31 12:06:03,Haircut Salon,Other,-236.46,expense
258,2025-04-01 08:11:52,Rent Payment,Rent,-12217.19,expense
259,2025-04-01 16:23:40,Juice Bar,Food,-83.68,expense
260,2025-04-01 21:20:18,Uber Ride,Travel,-165.12,expense
263,2025-04-02 09:11:30,Bus Pass,Travel,-124.09,expense
262,2025-04-02 13:11:53,Haircut Salon,Other,-148.21,expense
261,2025-04-02 17:31:54,Ola Cab,Travel,-157.6,expense
264,2025-04-02 23:48:59,ATM Withdrawal,Other,-1078.84,expense
266,2025-04-03 15:54:58,Laundry Service,Other,-137.73,expense
267,2025-04-03 20:07:00,Uber Ride,Travel,-202.91,expense
265,2025-04-03 20:12:37,Amazon Prime,Entertainment,-299,expense
270,2025-04-04 09:50:07,Lunch Canteen,Food,-94.3,expense
271,2025-04-04 12:50:30,Bus Pass,Travel,-125.73,expense
268,2025-04-04 19:02:00,Netflix Subscription,Entertainment,-649,expense
269,2025-04-04 19:42:24,Bus Pass,Travel,-134.78,expense
272,2025-04-04 21:03:25,Grocery Store,Food,-243.93,expense
273,2025-04-05 14:42:32,Metro Card Recharge,Travel,-345.34,expense
274,2025-04-05 21:33:16,Flipkart Purchase,Shopping,-1094.16,expense
276,2025-04-06 09:30:37,Gym Membership,Other,-785.93,expense
275,2025-04-06 17:03:21,Spotify Premium,Entertainment,-119,expense
277,2025-04-06 17:07:03,Shopping Mall,Shopping,-1352.36,expense
278,2025-04-07 19:01:10,Petrol Station,Travel,-1369.1,expense
279,2025-04-07 22:50:03,Uber Ride,Travel,-190.27,expense
280,2025-04-08 06:09:23,Medical Consultation,Other,-420.13,expense
282,2025-04-08 16:12:58,Ola Cab,Travel,-145.76,expense
281,2025-04-08 17:06:08,Uber Ride,Travel,-184.24,expense
283,2025-04-08 21:35:09,Juice Bar,Food,-63.34,expense
288,2025-04-09 10:25:38,Bakery,Food,-66.66,expense
284,2025-04-09 15:19:45,Electricity Bill,Bills,-1125.79,expense
286,2025-04-09 16:36:43,Uber Ride,Travel,-160.47,expense
287,2025-04-09 17:06:18,Lunch Canteen,Food,-119.28,expense
285,2025-04-09 21:07:08,Haircut Salon,Other,-263.37,expense
291,2025-04-10 09:13:03,Street Food,Food,-58.74,expense
289,2025-04-10 12:07:41,Medical Consultation,Other,-343.32,expense
290,2025-04-10 17:20:58,Zomato Delivery,Food,-370.74,expense
293,2025-04-11 11:09:58,Bus Pass,Travel,-85.02,expense
292,2025-04-11 15:23:32,Street Food,Food,-48.16,expense
294,2025-04-11 22:43:50,Swiggy Order,Food,-138.06,expense
297,2025-04-12 10:29:09,Stationery Shop,Shopping,-235.16,expense
295,2025-04-12 14:06:37,Freelance Payment,Freelance,5199.0,income
296,2025-04-12 15:15:47,Haircut Salon,Other,-161.12,expense
299,2025-04-12 20:07:05,Street Food,Food,-44.58,expense
298,2025-04-12 21:54:24,Lunch Canteen,Food,-120.55,expense
301,2025-04-13 08:53:34,Street Food,Food,-66.88,expense
300,2025-04-13 21:28:26,Petrol Station,Travel,-1423.65,expense
302,2025-04-14 12:04:46,Internet Bill,Bills,-502.86,expense
303,2025-04-14 16:09:20,Freelance Payment,Freelance,5207.15,income
304,2025-04-14 16:15:15,Restaurant Dinner,Food,-409.1,expense
305,2025-04-14 20:10:27,Grocery Store,Food,-678.46,expense
309,2025-04-15 08:52:54,Ola Cab,Travel,-122.73,expense
307,2025-04-15 15:55:46,Lunch Canteen,Food,-121.89,expense
306,2025-04-15 17:03:51,Books Purchase,Other,-248.76,expense
308,2025-04-15 21:41:46,Laundry Service,Other,-111.61,expense
310,2025-04-16 07:51:19,Juice Bar,Food,-66.86,expense
311,2025-04-16 20:08:54,Auto Rickshaw,Travel,-49.72,expense
312,2025-04-16 21:20:27,Street Food,Food,-51.37,expense
315,2025-04-17 12:22:16,Bakery,Food,-95.69,expense
313,2025-04-17 20:11:46,Haircut Salon,Other,-133.3,expense
314,2025-04-17 23:36:20,Restaurant Dinner,Food,-489.12,expense
317,2025-04-18 13:25:34,Laundry Service,Other,-146.15,expense
316,2025-04-18 20:07:28,Juice Bar,Food,-36.28,expense
318,2025-04-19 12:54:22,Flight Ticket,Travel,-5505.22,expense
319,2025-04-19 16:43:17,ATM Withdrawal,Other,-1490.46,expense
322,2025-04-20 08:28:53,Pharmacy,Shopping,-181.07,expense
321,2025-04-20 14:44:11,Haircut Salon,Other,-121.8,expense
320,2025-04-20 16:05:03,Freelance Payment,Freelance,5724.06,income
323,2025-04-20 18:51:32,Laundry Service,Other,-89.75,expense
324,2025-04-21 11:15:05,Cafe Coffee,Food,-82.94,expense
325,2025-04-21 14:50:24,Bus Pass,Travel,-176.52,expense
327,2025-04-21 18:52:43,Petrol Station,Travel,-1686.12,expense
326,2025-04-21 21:52:03,Grocery Store,Food,-450.45,expense
330,2025-04-22 10:52:22,Grocery Store,Food,-363.21,expense
328,2025-04-22 18:11:44,Haircut Salon,Other,-145.54,expense
329,2025-04-22 22:32:42,Books Purchase,Other,-316.43,expense
332,2025-04-23 11:33:23,Auto Rickshaw,Travel,-84.12,expense
331,2025-04-23 12:00:32,Bus Pass,Travel,-76.36,expense
333,2025-04-24 07:14:03,Books Purchase,Other,-279.84,expense
335,2025-04-24 13:25:55,Haircut Salon,Other,-135.47,expense
334,2025-04-24 23:22:15,Books Purchase,Other,-426.05,expense
337,2025-04-25 16:13:56,Metro Card Recharge,Travel,-230.8,expense
336,2025-04-25 20:28:34,Metro Card Recharge,Travel,-328.67,expense
338,2025-04-25 21:31:17,Bakery,Food,-108.42,expense
340,2025-04-26 14:56:25,ATM Withdrawal,Other,-938.74,expense
339,2025-04-26 23:14:43,Swiggy Order,Food,-212.03,expense
341,2025-04-27 13:56:09,Amazon Order,Shopping,-1246.54,expense
342,2025-04-27 22:35:29,Sports Event Ticket,Entertainment,-403.16,expense
344,2025-04-28 10:03:26,Haircut Salon,Other,-247.92,expense
343,2025-04-28 10:33:44,Salary Deposit,Salary,64343.84,income
345,2025-04-28 20:33:36,Gym Membership,Other,-623.38,expense
346,2025-04-29 10:35:48,Laundry Service,Other,-220.26,expense
348,2025-04-29 15:15:36,Books Purchase,Other,-122.78,expense
347,2025-04-29 19:15:01,Swiggy Order,Food,-244.86,expense
351,2025-04-30 06:17:20,Grocery Store,Food,-478.99,expense
349,2025-04-30 16:07:04,Petrol Station,Travel,-746.94,expense
350,2025-04-30 19:18:08,Bus Pass,Travel,-85.97,expense
355,2025-05-01 08:19:54,Lunch Canteen,Food,-121.37,expense
352,2025-05-01 09:04:09,Rent Payment,Rent,-11994.02,expense
354,2025-05-01 16:36:51,Street Food,Food,-65.42,expense
353,2025-05-01 22:23:27,Uber Ride,Travel,-117.02,expense
360,2025-05-02 09:26:44,Ola Cab,Travel,-130.42,expense
361,2025-05-02 12:35:13,Haircut Salon,Other,-138.39,expense
358,2025-05-02 18:07:25,Metro Card Recharge,Travel,-391.14,expense
357,2025-05-02 18:18:14,Amazon Prime,Entertainment,-299,expense
356,2025-05-02 20:41:46,Netflix Subscription,Entertainment,-649,expense
359,2025-05-02 23:45:10,Lunch Canteen,Food,-62.25,expense
364,2025-05-03 13:41:31,Haircut Salon,Other,-288.52,expense
363,2025-05-03 19:03:30,Street Food,Food,-64.21,expense
362,2025-05-03 20:05:50,Spotify Premium,Entertainment,-119,expense
366,2025-05-04 11:09:15,ATM Withdrawal,Other,-806.25,expense
365,2025-05-04 21:56:42,Movie Tickets,Entertainment,-257.25,expense
369,2025-05-05 06:28:54,Restaurant Dinner,Food,-209.45,expense
367,2025-05-05 16:26:02,Uber Ride,Travel,-141.57,expense
368,2025-05-05 21:35:15,ATM Withdrawal,Other,-738.96,expense
370,2025-05-06 06:28:38,Cafe Coffee,Food,-105.26,expense
371,2025-05-06 20:49:19,Gym Membership,Other,-876.14,expense
372,2025-05-06 23:39:26,Metro Card Recharge,Travel,-302.35,expense
374,2025-05-07 11:29:40,Uber Ride,Travel,-120.26,expense
373,2025-05-07 15:19:54,Freelance Payment,Freelance,8956.71,income
375,2025-05-07 21:13:45,Laundry Service,Other,-107.14,expense
378,2025-05-08 06:09:52,Lunch Canteen,Food,-76.08,expense
376,2025-05-08 12:34:45,Electricity Bill,Bills,-746.26,expense
377,2025-05-08 19:22:30,Haircut Salon,Other,-328.18,expense
379,2025-05-09 19:33:42,Books Purchase,Other,-357.8,expense
380,2025-05-09 21:58:25,Gym Membership,Other,-1079.12,expense
381,2025-05-10 09:03:40,Stationery Shop,Shopping,-126.54,expense
383,2025-05-10 12:44:33,Lunch Canteen,Food,-83.45,expense
382,2025-05-10 20:44:50,Haircut Salon,Other,-331.78,expense
384,2025-05-10 21:22:53,Ola Cab,Travel,-165.14,expense
386,2025-05-11 11:27:35,Zomato Delivery,Food,-227.62,expense
387,2025-05-11 13:56:26,Pharmacy,Shopping,-204.96,expense
385,2025-05-11 18:50:27,Movie Tickets,Entertainment,-284.23,expense
390,2025-05-12 09:59:00,Zomato Delivery,Food,-227.11,expense
388,2025-05-12 12:41:29,Juice Bar,Food,-40.66,expense
389,2025-05-12 18:02:06,Juice Bar,Food,-35.65,expense
391,2025-05-13 12:04:23,Internet Bill,Bills,-590.81,expense
392,2025-05-13 14:14:01,Gym Membership,Other,-788.83,expense
393,2025-05-13 18:04:29,Lunch Canteen,Food,-73.61,expense
394,2025-05-13 21:20:51,ATM Withdrawal,Other,-509.8,expense
395,2025-05-14 11:02:48,Zomato Delivery,Food,-362.93,expense
398,2025-05-14 12:41:03,Haircut Salon,Other,-150.09,expense
397,2025-05-14 18:40:23,Cafe Coffee,Food,-90.58,expense
396,2025-05-14 22:36:14,Uber Ride,Travel,-98.02,expense
399,2025-05-15 11:49:38,Grocery Store,Food,-237.68,expense
401,2025-05-15 16:37:49,Juice Bar,Food,-82.09,expense
400,2025-05-15 17:18:39,Zomato Delivery,Food,-305.98,expense
402,2025-05-15 22:12:28,Petrol Station,Travel,-953.38,expense
405,2025-05-16 08:28:51,ATM Withdrawal,Other,-870.19,expense
404,2025-05-16 12:28:08,Metro Card Recharge,Travel,-228.05,expense
403,2025-05-16 20:48:32,Restaurant Dinner,Food,-196.04,expense
